label_ko,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20091231,20090101,20081231
순확정급여자산,3661528000000.0,3922244000000.0,4410223000000.0,1442317000000.0,,,2324291000000.0,,,,1162456000000.0,,,,486855000000.0,,,,562356000000.0,,,,811210000000.0,,,,557091000000.0,,,,56174000000.0,,,,135951000000.0,,,,,,,,,,,,,,,,,,,
이연법인세자산,1957367000000.0,1929282000000.0,2142512000000.0,1692861000000.0,,,1211100000000.0,,,,992385000000.0,,,,547176000000.0,,,,654456000000.0,,,,586161000000.0,,,,110239000000.0,,,,865903000000.0,,,,,,,,,,,,142314000000.0,,,,202158000000.0,,,,0.0,0.0,,
기타비유동자산,4073993000000.0,4099184000000.0,3878090000000.0,3462885000000.0,,,3808630000000.0,,,,2411151000000.0,,,,2608368000000.0,,,,7195398000000.0,,,,4399692000000.0,,,,869360000000.0,,,,1331840000000.0,,,,1694436000000.0,,,,1120775000000.0,,,,873874000000.0,,,,938286000000.0,,,,772844000000.0,428632000000.0,557358000000.0,1172475000000.0
자산총계,286027593000000.0,274410387000000.0,260083750000000.0,261029078000000.0,,,251112184000000.0,,,,229664427000000.0,,,,216180920000000.0,,,,219021357000000.0,,,,198241360000000.0,,,,174802959000000.0,,,,168969630000000.0,,,,164060583000000.0,,,,154825957000000.0,,,,133264055000000.0,,,,117599849000000.0,,,,107179005000000.0,89609354000000.0,78657209000000.0,72519220000000.0
유동부채,38302556000000.0,46323496000000.0,46086047000000.0,48848744000000.0,,,53067303000000.0,,,,44412904000000.0,,,,36237164000000.0,,,,43145053000000.0,,,,44495084000000.0,,,,34076122000000.0,,,,29630488000000.0,,,,28208638000000.0,,,,27597944000000.0,,,,24770263000000.0,,,,26969912000000.0,,,,24991737000000.0,20304724000000.0,15384472000000.0,11721362000000.0
매입채무,9474012000000.0,12128382000000.0,8729315000000.0,14598977000000.0,,,11557441000000.0,,,,6599025000000.0,,,,7547273000000.0,,,,7315631000000.0,,,,6398629000000.0,,,,6162650000000.0,,,,3887983000000.0,,,,4677527000000.0,,,,5742116000000.0,,,,5785104000000.0,,,,6983494000000.0,,,,6022488000000.0,4785268000000.0,2388104000000.0,2388104000000.0
단기차입금,2668838000000.0,3181693000000.0,2381512000000.0,4115641000000.0,,,9204268000000.0,,,,12520367000000.0,,,,10228216000000.0,,,,10353873000000.0,,,,12229701000000.0,,,,9061167000000.0,,,,7127527000000.0,,,,2928182000000.0,,,,2811565000000.0,,,,3034621000000.0,,,,4259170000000.0,,,,4415095000000.0,3579760000000.0,3488144000000.0,
미지급금,12840656000000.0,17663387000000.0,18554543000000.0,13982690000000.0,,,13206753000000.0,,,,9829541000000.0,,,,9142890000000.0,,,,8385752000000.0,,,,9598654000000.0,,,,7635740000000.0,,,,5952236000000.0,,,,6460166000000.0,,,,5404573000000.0,,,,4423468000000.0,,,,6509234000000.0,,,,5893021000000.0,4595940000000.0,3787431000000.0,3787431000000.0
선수금,238297000000.0,333971000000.0,320689000000.0,387889000000.0,,,474731000000.0,,,,424368000000.0,,,,355562000000.0,,,,214615000000.0,,,,214007000000.0,,,,200445000000.0,,,,160990000000.0,,,,139803000000.0,,,,141582000000.0,,,,218229000000.0,,,,979418000000.0,,,,588206000000.0,700733000000.0,564688000000.0,564688000000.0
예수금,416178000000.0,384422000000.0,523354000000.0,439918000000.0,,,624585000000.0,,,,432714000000.0,,,,383450000000.0,,,,572702000000.0,,,,500740000000.0,,,,389528000000.0,,,,341806000000.0,,,,596164000000.0,,,,514235000000.0,,,,459481000000.0,,,,574015000000.0,,,,315196000000.0,275994000000.0,161212000000.0,245011000000.0
미지급비용,6990048000000.0,5699663000000.0,8359296000000.0,8150741000000.0,,,8275410000000.0,,,,7927017000000.0,,,,5359291000000.0,,,,6129837000000.0,,,,6657674000000.0,,,,6284646000000.0,,,,6126350000000.0,,,,7413148000000.0,,,,5952745000000.0,,,,5469762000000.0,,,,5027821000000.0,,,,4444795000000.0,3811656000000.0,2757897000000.0,3836708000000.0
당기법인세부채,,1309850000000.0,2533481000000.0,2430751000000.0,,,5599896000000.0,,,,3556146000000.0,,,,788846000000.0,,,,7925887000000.0,,,,6565781000000.0,,,,2055829000000.0,,,,1802344000000.0,,,,1707176000000.0,,,,2207118000000.0,,,,2217161000000.0,,,,614256000000.0,,,,1713443000000.0,625898000000.0,412368000000.0,412368000000.0
유동성장기부채,201192000000.0,174758000000.0,135753000000.0,124523000000.0,,,139328000000.0,,,,87571000000.0,,,,153942000000.0,,,,5440000000.0,,,,5201000000.0,,,,5854000000.0,,,,5666000000.0,,,,5304000000.0,,,,5083000000.0,,,,5150000000.0,,,,5536000000.0,,,,5459000000.0,5588000000.0,6009000000.0,6009000000.0
충당부채,4850096000000.0,5011131000000.0,4059491000000.0,4089167000000.0,,,3643853000000.0,,,,2932468000000.0,,,,2042039000000.0,,,,2135314000000.0,,,,2273688000000.0,,,,2221717000000.0,,,,4207745000000.0,,,,4246054000000.0,,,,4805193000000.0,,,,3134268000000.0,,,,1858861000000.0,,,,1326152000000.0,1604335000000.0,1586572000000.0,
기타유동부채,623239000000.0,436239000000.0,488613000000.0,528447000000.0,,,341038000000.0,,,,103687000000.0,,,,235655000000.0,,,,106002000000.0,,,,51009000000.0,,,,58546000000.0,,,,17841000000.0,,,,14855000000.0,,,,13734000000.0,,,,23019000000.0,,,,158107000000.0,,,,267882000000.0,319552000000.0,232047000000.0,
비유동부채,29536245000000.0,17118387000000.0,4581512000000.0,5134628000000.0,,,4851149000000.0,,,,1934799000000.0,,,,2073509000000.0,,,,2888179000000.0,,,,2176501000000.0,,,,3180075000000.0,,,,2910887000000.0,,,,3174870000000.0,,,,4857246000000.0,,,,2605923000000.0,,,,2173031000000.0,,,,2327044000000.0,2550164000000.0,2337743000000.0,2684368000000.0
사채,25883000000.0,25667000000.0,24912000000.0,35202000000.0,,,29048000000.0,,,,31909000000.0,,,,39520000000.0,,,,43516000000.0,,,,46808000000.0,,,,58542000000.0,,,,62326000000.0,,,,63648000000.0,,,,66079000000.0,,,,72103000000.0,,,,83045000000.0,,,,87338000000.0,94993000000.0,108170000000.0,108170000000.0
장기차입금,22826584000000.0,10771941000000.0,654979000000.0,518474000000.0,,,431915000000.0,,,,150397000000.0,,,,174651000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장기미지급금,4772353000000.0,4476135000000.0,2439232000000.0,2765436000000.0,,,2653715000000.0,,,,1247752000000.0,,,,1574535000000.0,,,,2472416000000.0,,,,1750379000000.0,,,,2808460000000.0,,,,2387934000000.0,,,,2305055000000.0,,,,769002000000.0,,,,775585000000.0,,,,697705000000.0,,,,870180000000.0,900648000000.0,333940000000.0,507921000000.0
장기충당부채,1857914000000.0,1775310000000.0,1423165000000.0,1766786000000.0,,,1659774000000.0,,,,503035000000.0,,,,283508000000.0,,,,372217000000.0,,,,379201000000.0,,,,312467000000.0,,,,457290000000.0,,,,437974000000.0,,,,415718000000.0,,,,367743000000.0,,,,351556000000.0,,,,295356000000.0,244443000000.0,176887000000.0,
